epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,51.3129,0.67403,0.78068,1.19367,0.98789,1,0.995,0.77025,0.8413,0.81245,1.63722,0.0011684,0.0011684,0.0011684
44,52.465,0.6234,0.75092,1.18548,0.99506,1,0.995,0.91614,0.52854,0.57167,1.16396,0.0011486,0.0011486,0.0011486
45,53.6,0.57626,0.69212,1.1961,0.99577,1,0.995,0.88813,0.5304,0.53903,1.1286,0.0011288,0.0011288,0.0011288
46,54.7364,0.5669,0.68878,1.18042,0.98891,1,0.995,0.81017,0.63919,0.63962,1.23724,0.001109,0.001109,0.001109
47,55.8704,0.61734,0.67527,1.17541,1,0.96927,0.995,0.74966,0.9616,0.76605,1.58976,0.0010892,0.0010892,0.0010892
48,57.0232,0.58993,0.67054,1.19027,0.98905,1,0.995,0.73091,0.97687,0.77933,1.5552,0.0010694,0.0010694,0.0010694
49,58.1612,0.60665,0.71262,1.19298,0.98363,1,0.995,0.81335,0.67664,0.70061,1.29707,0.0010496,0.0010496,0.0010496
50,59.2973,0.55527,0.65101,1.13302,0.99466,1,0.995,0.87975,0.58314,0.62992,1.2407,0.0010298,0.0010298,0.0010298
51,60.4369,0.58506,0.64163,1.15567,0.99497,1,0.995,0.8284,0.68113,0.69476,1.40419,0.00101,0.00101,0.00101
52,61.5841,0.61941,0.67937,1.17003,0.99728,1,0.995,0.9015,0.49443,0.55421,1.1471,0.0009902,0.0009902,0.0009902
53,62.7215,0.56292,0.66706,1.13276,0.99635,1,0.995,0.92887,0.44532,0.52595,1.08071,0.0009704,0.0009704,0.0009704
54,63.8779,0.587,0.66439,1.14723,0.92742,1,0.967,0.84963,0.44618,0.57722,1.0644,0.0009506,0.0009506,0.0009506
55,65.014,0.61284,0.62803,1.20268,0.92355,1,0.95233,0.82679,0.54435,0.68628,1.11596,0.0009308,0.0009308,0.0009308
56,66.1653,0.56979,0.66169,1.1872,0.93178,1,0.995,0.87122,0.49446,0.67458,1.09053,0.000911,0.000911,0.000911
57,67.3084,0.52324,0.61059,1.12837,0.98809,1,0.995,0.88742,0.4709,0.63862,1.06793,0.0008912,0.0008912,0.0008912
58,68.4452,0.51695,0.65542,1.08244,0.9953,1,0.995,0.88349,0.45005,0.60844,1.04287,0.0008714,0.0008714,0.0008714
59,69.5853,0.54269,0.66547,1.1178,0.98767,1,0.995,0.92397,0.37623,0.53031,1.01203,0.0008516,0.0008516,0.0008516
60,70.7355,0.49868,0.62415,1.11725,0.9959,1,0.995,0.9305,0.41066,0.48194,1.08381,0.0008318,0.0008318,0.0008318
61,71.8954,0.56067,0.5855,1.14414,0.99604,1,0.995,0.85248,0.61012,0.51443,1.29083,0.000812,0.000812,0.000812
62,73.035,0.49624,0.59145,1.05244,0.99603,1,0.995,0.77852,0.78345,0.58563,1.54588,0.0007922,0.0007922,0.0007922
63,74.1744,0.56009,0.62051,1.17509,0.99599,1,0.995,0.75572,0.90165,0.61433,1.79106,0.0007724,0.0007724,0.0007724
64,75.3215,0.53285,0.64658,1.11643,0.99512,1,0.995,0.90204,0.44743,0.47743,1.04253,0.0007526,0.0007526,0.0007526
65,76.4568,0.49178,0.59233,1.09444,0.98836,1,0.995,0.96456,0.34571,0.45272,0.95766,0.0007328,0.0007328,0.0007328
66,77.6165,0.51418,0.59318,1.1247,0.96699,1,0.995,0.98702,0.34008,0.51582,0.9507,0.000713,0.000713,0.000713
67,78.7787,0.51371,0.59221,1.11654,0.91958,1,0.99033,0.96301,0.36525,0.56612,0.96225,0.0006932,0.0006932,0.0006932
68,79.9238,0.54014,0.58325,1.13485,0.99147,1,0.995,0.94605,0.33681,0.48917,0.94899,0.0006734,0.0006734,0.0006734
69,81.0634,0.46875,0.5144,1.06272,0.9828,1,0.995,0.97139,0.29973,0.46573,0.92346,0.0006536,0.0006536,0.0006536
70,82.2012,0.54299,0.58321,1.13609,0.95023,1,0.995,0.98602,0.27788,0.4501,0.92299,0.0006338,0.0006338,0.0006338
71,83.341,0.48057,0.52593,1.05817,0.99137,1,0.995,0.98652,0.28696,0.4267,0.93633,0.000614,0.000614,0.000614
72,84.4927,0.52726,0.60098,1.11181,0.98387,1,0.995,0.97804,0.2898,0.38918,0.93442,0.0005942,0.0005942,0.0005942
73,85.6287,0.48823,0.53248,1.10745,0.98703,1,0.995,0.97704,0.28482,0.39068,0.92129,0.0005744,0.0005744,0.0005744
74,86.7625,0.50678,0.57719,1.12608,1,0.98271,0.995,0.97997,0.30661,0.41024,0.9271,0.0005546,0.0005546,0.0005546
75,87.9005,0.52931,0.61935,1.13751,0.98739,1,0.995,0.93207,0.34403,0.41376,0.97046,0.0005348,0.0005348,0.0005348
76,89.0503,0.45276,0.5164,1.10014,0.99605,1,0.995,0.90652,0.43568,0.36902,1.10471,0.000515,0.000515,0.000515
77,90.1936,0.48463,0.53917,1.09313,0.99584,1,0.995,0.90101,0.43913,0.36647,1.11603,0.0004952,0.0004952,0.0004952
78,91.3277,0.53714,0.56812,1.14005,0.99565,1,0.995,0.88436,0.47126,0.38567,1.14279,0.0004754,0.0004754,0.0004754
79,92.4641,0.45589,0.53074,1.08593,0.99575,1,0.995,0.88593,0.46575,0.39471,1.12477,0.0004556,0.0004556,0.0004556
80,93.6104,0.49206,0.56973,1.10076,0.99579,1,0.995,0.88116,0.44653,0.36869,1.10467,0.0004358,0.0004358,0.0004358
81,94.7419,0.44475,0.49243,1.07742,0.99589,1,0.995,0.89397,0.42222,0.36077,1.08918,0.000416,0.000416,0.000416
82,95.879,0.47065,0.50856,1.07023,0.9959,1,0.995,0.92088,0.40818,0.36012,1.08371,0.0003962,0.0003962,0.0003962
83,97.0181,0.45787,0.51491,1.07658,0.99608,1,0.995,0.9334,0.40472,0.36449,1.06771,0.0003764,0.0003764,0.0003764
84,98.1693,0.38071,0.44379,1.02096,0.99631,1,0.995,0.93633,0.30998,0.38192,0.93913,0.0003566,0.0003566,0.0003566
85,99.3131,0.42756,0.43523,1.04345,0.99621,1,0.995,0.95133,0.29268,0.34301,0.92217,0.0003368,0.0003368,0.0003368
86,100.461,0.41832,0.4549,1.04324,0.99626,1,0.995,0.95469,0.28282,0.32682,0.91574,0.000317,0.000317,0.000317
87,101.602,0.44693,0.5121,1.08227,0.99631,1,0.995,0.96371,0.27777,0.3272,0.91186,0.0002972,0.0002972,0.0002972
88,102.752,0.41396,0.46816,1.04684,0.99635,1,0.995,0.98652,0.26184,0.32432,0.90003,0.0002774,0.0002774,0.0002774
89,103.897,0.40503,0.46317,1.05693,0.99633,1,0.995,0.995,0.24579,0.30943,0.89094,0.0002576,0.0002576,0.0002576
90,105.051,0.39399,0.40204,1.03504,0.99633,1,0.995,0.995,0.23408,0.295,0.88474,0.0002378,0.0002378,0.0002378
91,106.922,0.29269,0.55369,0.9859,0.99636,1,0.995,0.995,0.22363,0.28793,0.87719,0.000218,0.000218,0.000218
92,108.159,0.26892,0.50833,0.95788,0.99638,1,0.995,0.995,0.21229,0.31233,0.86828,0.0001982,0.0001982,0.0001982
93,109.32,0.29714,0.5257,0.9804,0.99633,1,0.995,0.995,0.20914,0.32897,0.86459,0.0001784,0.0001784,0.0001784
94,110.474,0.29366,0.49646,0.98599,0.99637,1,0.995,0.995,0.20816,0.35127,0.86243,0.0001586,0.0001586,0.0001586
95,111.634,0.29011,0.47473,0.95723,0.99677,1,0.995,0.995,0.21368,0.37967,0.86302,0.0001388,0.0001388,0.0001388
96,112.797,0.2559,0.43918,0.96929,0.99696,1,0.995,0.995,0.23794,0.40421,0.87117,0.000119,0.000119,0.000119
97,113.955,0.2549,0.42393,0.92984,0.99694,1,0.995,0.995,0.23804,0.39409,0.87142,9.92e-05,9.92e-05,9.92e-05
98,115.109,0.23061,0.41445,0.93649,0.99693,1,0.995,0.995,0.23593,0.38017,0.87084,7.94e-05,7.94e-05,7.94e-05
99,116.266,0.2182,0.39365,0.90061,0.99692,1,0.995,0.995,0.22866,0.36577,0.86752,5.96e-05,5.96e-05,5.96e-05
100,117.435,0.22586,0.38364,0.93118,0.99677,1,0.995,0.98395,0.21657,0.34059,0.86274,3.98e-05,3.98e-05,3.98e-05
